principal component 1,principal component 2,cluster
-0.5694925621782214,-0.34195460339508793,1
-0.5694925621782214,-0.34195460339508793,1
-0.5694925621782214,-0.34195460339508793,1
-1.8765508612849675,0.029462229911366707,1
-0.5364775871834796,-0.29283880241397314,1
-0.52706542325954,-0.2788364907307606,1
-1.8671386973610278,0.043464541594579235,1
1.3144165854190004,-1.093568359845219,0
0.8907225015095406,-1.7000320866283223,0
-0.47160605736924993,-0.19633056188967746,1
0.8684672167322379,-0.5186315942150173,0
1.4804135823337843,-1.1062527014673411,0
-0.45857383039764127,-0.17694274571292168,1
0.8814994437038466,-0.49924377803826153,0
0.8814994437038466,-0.49924377803826153,0
0.8814994437038466,-0.49924377803826153,0
-1.7986471044991292,0.14535828661241817,1
0.8814994437038466,-0.49924377803826153,0
-0.45857383039764127,-0.17694274571292168,1
-0.45857383039764127,-0.17694274571292168,1
-0.45857383039764127,-0.17694274571292168,1
-1.7935790162323926,0.15289799290337883,1
-0.4535057421309046,-0.16940303942196103,1
-0.44257315172694406,-0.15313881585146033,1
-0.44257315172694406,-0.15313881585146033,1
-0.44257315172694406,-0.15313881585146033,1
-1.782646425828432,0.16916221647387952,1
-1.782646425828432,0.16916221647387952,1
0.9996912372418161,-2.6428129220891585,0
-1.779460770346483,0.1739014604281976,1
-0.43938749624499523,-0.14839957189714226,1
0.9996912372418161,-2.6428129220891585,0
0.9006857778564926,-0.4707006042224821,0
-0.43938749624499523,-0.14839957189714226,1
0.15952664238494246,-0.7554084953262219,0
2.3121747929226286,-1.901266977938809,0
-0.43938749624499523,-0.14839957189714226,1
0.9006857778564926,-0.4707006042224821,0
1.4995999164864304,-1.0777095276515618,0
0.9006857778564926,-0.4707006042224821,0
-0.4385186811135547,-0.14710705081869188,1
0.9015545929879332,-0.4694080831440317,0
-0.4385186811135547,-0.14710705081869188,1
0.9015545929879332,-0.4694080831440317,0
-0.4343194079782586,-0.14085986560618166,1
-0.4330885865420511,-0.13902879407837695,1
-0.4327265802372842,-0.13849024362902262,1
0.16691157100218734,-0.7444220661593937,0
-0.4320025676277504,-0.13741314273031396,1
-0.4320025676277504,-0.13741314273031396,1
1.5079260614960692,-1.0653228673164121,0
-0.43106135123535644,-0.1360129115619927,1
0.06404847363875195,-0.6378145261698764,1
-0.43106135123535644,-0.1360129115619927,1
0.9090119228661314,-0.45831394388733254,0
-0.43106135123535644,-0.1360129115619927,1
-0.43106135123535644,-0.1360129115619927,1
0.24680420179364787,-0.8230403384233187,0
-0.43106135123535644,-0.1360129115619927,1
-0.43106135123535644,-0.1360129115619927,1
